,waktu,user,text,STOP_REMOVAL,STEMMING,label
12,2021-11-25 10:22:14+00:00,naj_2709, tito minta pemda percepat realisasi belanja apbd dan ini membutuhkan kerjasama semua komponen daerah agar, tito pemda percepat realisasi belanja apbd membutuhkan kerjasama komponen daerah,tito pemda cepat realisasi belanja apbd butuh kerjasama komponen daerah,true
13,2021-11-25 10:22:09+00:00,ahmdrdho0,juara dunia wushu penghafal alquran tahun asal jawa timur ini dapat beasiswa hingga ,juara dunia wushu penghafal alquran jawa timur beasiswa,juara dunia wushu hafal alquran jawa timur beasiswa,true
14,2021-11-25 10:22:09+00:00,87kaisar, minta surat terbuka korban pelecehan seksual kampus ditanggapi serius, surat terbuka korban pelecehan seksual kampus ditanggapi serius,surat buka korban leceh seksual kampus tanggap serius,true
15,2021-11-25 10:22:08+00:00,imyoona114,pada tanggal januari 2014 dikonfirmasi oleh sme terkait berita kencan yoona dengan aktor lee seung dikatakan,tanggal januari 2014 dikonfirmasi sme terkait berita kencan yoona aktor lee seung,tanggal januari 2014 konfirmasi sme kait berita kencan yoona aktor lee seung,true
16,2021-11-25 10:22:08+00:00,kellamotto, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
17,2021-11-25 10:21:59+00:00,mllmrn__,taegi bilang aja kalian mau nya dia yang salah kalo dia,taegi bilang aja nya salah kalo,taegi bilang aja nya salah kalo,false
18,2021-11-25 10:21:58+00:00,alika_syfr, pelaku yang terlibat pengroyokan anak ini semuanya usia anak dan pelaku suami istri itu menikah siri krn juga masih, pelaku terlibat pengroyokan anak usia anak pelaku suami istri menikah siri krn,laku libat pengroyokan anak usia anak laku suami istri meni siri krn,true
19,2021-11-25 10:21:57+00:00,ahmadhelmiee, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,roti gardenia harga sember awaninews awani745,true
20,2021-11-25 10:21:55+00:00,87kaisar,gugatan kubu klb moeldoko yasonna ditolak ptun jakarta,gugatan kubu klb moeldoko yasonna ditolak ptun jakarta,gugat kubu klb moeldoko yasonna tolak ptun jakarta,true
21,2021-11-25 10:21:51+00:00,andracadabra1, kemarin mendagri tito karnavian menyoroti realisasi belanja pemprov sumut masih persen percepa, kemarin mendagri tito karnavian menyoroti realisasi belanja pemprov sumut persen percepa,kemarin mendagri tito karnavian sorot realisasi belanja pemprov sumut persen percepa,true
22,2021-11-25 10:21:50+00:00,izdetyuu,bosen fyp tiktok isinya berita itu mulu padahal gapernah mau ngikutin,bosen fyp tiktok isinya berita mulu gapernah ngikutin,bosen fyp tiktok isi berita mulu gapernah ngikutin,false
23,2021-11-25 10:21:48+00:00,tkempur, rakyat mendagri ini luar biasa begitu melihat data serapan apbd daerah daerah realisasi nya diatas , rakyat mendagri data serapan apbd daerah daerah realisasi nya diatas,rakyat mendagri data serap apbd daerah daerah realisasi nya atas,true
24,2021-11-25 10:21:43+00:00,acehprovgoid,bupati aceh barat ajak antara digital media bangkitkan semangat berinvestasi aceh,bupati aceh barat ajak digital media bangkitkan semangat berinvestasi aceh,bupati aceh barat ajak digital media bangkit semangat investasi aceh,true
25,2021-11-25 10:21:43+00:00,borexs51, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,kait isu pilih vanue formula tentu presiden tegas tanggung,true
26,2021-11-25 10:21:42+00:00,acehprovgoid,pemkab nagan raya selenggarakan tot kinerja,pemkab nagan raya selenggarakan tot kinerja,pemkab nagan raya selenggara tot kerja,true
27,2021-11-25 10:21:41+00:00,acehprovgoid,raih juara dalam ajang pentas pai tingkat provinsi aceh bupati berikan bonus kepada raihana shafa thahira,raih juara ajang pentas pai tingkat provinsi aceh bupati bonus raihana shafa thahira,raih juara ajang pentas pai tingkat provinsi aceh bupati bonus raihana shafa thahira,true
28,2021-11-25 10:21:40+00:00,acehprovgoid,aminullah banda aceh dan oki bersinergi majukan sektor pariwisata,aminullah banda aceh oki bersinergi majukan sektor pariwisata,aminullah banda aceh oki sinergi maju sektor pariwisata,true
29,2021-11-25 10:21:38+00:00,triaanakmama, tidak semua urusan harus ajukan presiden ini ranah pemerintah daerah amp penyelenggara kata faldo artinya tidak,urusan ajukan presiden ranah pemerintah daerah amp penyelenggara faldo,urus aju presiden ranah perintah daerah amp selenggara faldo,false
30,2021-11-25 10:21:32+00:00,dhesmond4, demo buruh patung kuda memanas massa nyalakan flare jokowimundur jokowimundur, demo buruh patung kuda memanas massa nyalakan flare jokowimundur jokowimundur,demo buruh patung kuda panas massa nyala flare jokowimundur jokowimundur,true
31,2021-11-25 10:21:32+00:00,republikaonline,bentrokan ormas karena rebutan limbah ekonomis salah satu pabrik karawang,bentrokan ormas rebutan limbah ekonomis salah pabrik karawang,bentrok ormas rebut limbah ekonomis salah pabrik karawang,true
32,2021-11-25 10:21:31+00:00,zhrh_ma, simple telekung hati terpikat betul selama duk beli tudung2 cantik skrg ape salahnye tambah koleksi, simple telekung hati terpikat duk beli tudung2 cantik skrg ape salahnye koleksi,simple telekung hati pikat duk beli tudung2 cantik skrg ape salahnye koleksi,false
33,2021-11-25 10:21:31+00:00,ennnnjel,baca berita ekonomi internasional dimana ,baca berita ekonomi internasional dimana,baca berita ekonomi internasional mana,false
34,2021-11-25 10:21:31+00:00,sabdowiro,didu nah justru otak kamu taruh dimana ada bandara dijual ,didu otak taruh dimana bandara dijual,didu otak taruh mana bandara jual,false
35,2021-11-25 10:21:30+00:00,87kaisar, apresiasi ptun tolak gugatan kubu moeldoko menkumham objektif, apresiasi ptun tolak gugatan kubu moeldoko menkumham objektif,apresiasi ptun tolak gugat kubu moeldoko menkumham objektif,true
36,2021-11-25 10:21:24+00:00,naj_2709, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,dasar data tampil tito realisasi belanja pemprov sumut rp9 triliun total anggar rp13 triliun,true
37,2021-11-25 10:21:20+00:00,sephet, betul dalam thn ngga diperbaiki dinyatakan inkonstitusional secara permanen aamiin, thn ngga diperbaiki dinyatakan inkonstitusional permanen aamiin,thn ngga baik nyata inkonstitusional permanen aamiin,true
38,2021-11-25 10:21:18+00:00,sartonohutomo, bupati mamteng rhp berikan bantuan pembangunan masjid arafah 100 juta papua, bupati mamteng rhp bantuan pembangunan masjid arafah 100 juta papua,bupati mamteng rhp bantu bangun masjid arafah 100 juta papua,true
39,2021-11-25 10:21:17+00:00,letta_lette, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
40,2021-11-25 10:21:14+00:00,sinaronline,izham berkata pembekal dan peniaga sebenarnya tiada pilihan melainkan terpaksa menaikkan harga berikutan kos bahan,izham pembekal peniaga tiada pilihan terpaksa menaikkan harga berikutan kos bahan,izham bekal niaga tiada pilih paksa naik harga ikut kos bahan,true
41,2021-11-25 10:21:13+00:00,mbalei23, musik yang terlalu kencang pada acara pernikahan menyebabkan ekor ayam mati mendadak ayam tersebut mati karena serangan , musik kencang acara pernikahan menyebabkan ekor ayam mati mendadak ayam mati serangan,musik kencang acara nikah sebab ekor ayam mati dadak ayam mati serang,true
42,2021-11-25 10:21:11+00:00,triaanakmama, semua terkait formula tanggung jawab pemprov dki kasihan anies baswedan selalu disalahkan terus padahal anies kan , terkait formula tanggung pemprov dki kasihan anies baswedan disalahkan anies,kait formula tanggung pemprov dki kasihan anies baswedan salah anies,false
43,2021-11-25 10:21:07+00:00,detikcom,kisah inspiratif datang dari seorang guru bernama asdilita guru penyandang disabilitas ini tak pernah menyerah unt,kisah inspiratif guru bernama asdilita guru penyandang disabilitas menyerah unt,kisah inspiratif guru nama asdilita guru sandang disabilitas serah unt,true
44,2021-11-25 10:21:07+00:00,detikcom,hujan deras mengguyur lamongan mengakibatkan jalan sepanjang tidak bisa dilalui itu lantaran tertutup longsor,hujan deras mengguyur lamongan mengakibatkan jalan lantaran tertutup longsor,hujan deras guyur lamongan akibat jalan lantar tutup longsor,true
45,2021-11-25 10:21:06+00:00,selamet_99, sajak one got sudah cium bau2 penjara one got mau coba lempar tai nya pak jokowi setelah kpk bersuara dan sepupunya , sajak one got cium bau2 penjara one got coba lempar tai nya jokowi kpk bersuara sepupunya,sajak one got cium bau2 penjara one got coba lempar tai nya jokowi kpk suara sepupu,false
46,2021-11-25 10:21:00+00:00,adamezique, edaran untuk warga twitter semua berhati hati membeli peranti yang tidak diperakui oleh suruhanjaya komunikasi dan multime, edaran warga twitter berhati hati membeli peranti diperakui suruhanjaya komunikasi multime,edar warga twitter hati hati beli peranti aku suruhanjaya komunikasi multime,true
47,2021-11-25 10:21:00+00:00,zelytaanakpapih,selamat hari guru tpi msih ada nasib guru tidak selamat upah diterima tdk sesuai waktu amp ilmu dibe,selamat guru tpi msih nasib guru selamat upah diterima tdk sesuai amp ilmu dibe,selamat guru tpi msih nasib guru selamat upah terima tdk sesuai amp ilmu dibe,false
48,2021-11-25 10:20:56+00:00,zhariframli, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,roti gardenia harga sember awaninews awani745,true
49,2021-11-25 10:20:54+00:00,cikyahming, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,roti gardenia harga sember awaninews awani745,true
50,2021-11-25 10:20:50+00:00,fenstayo, cegah stunting tanggung jawab bersama berita metro beritakalimantan beritaterkini, cegah stunting tanggung berita metro beritakalimantan beritaterkini,cegah stunting tanggung berita metro beritakalimantan beritaterkini,true
51,2021-11-25 10:20:44+00:00,antaranews,anies mengatakan lokasi formula nantinya ditentukan oleh tim dari feo imi dan jakpro,anies lokasi formula ditentukan tim feo imi jakpro,anies lokasi formula tentu tim feo imi jakpro,true
52,2021-11-25 10:20:44+00:00,wpunchh, berdasarkan data yang ditampilkan tito realisasi belanja pemprov sumut masih rp9 triliun dari total anggaran rp13 triliun, berdasarkan data ditampilkan tito realisasi belanja pemprov sumut rp9 triliun total anggaran rp13 triliun,dasar data tampil tito realisasi belanja pemprov sumut rp9 triliun total anggar rp13 triliun,true
53,2021-11-25 10:20:43+00:00,andracadabra1, realisasi apbd pemda amat penting demi stimulasi ekonomi masyarakat mulai berangsur naik , realisasi apbd pemda stimulasi ekonomi masyarakat berangsur,realisasi apbd pemda stimulasi ekonomi masyarakat angsur,true
54,2021-11-25 10:20:43+00:00,srpsr2, stafsus setneg semua terkait formula tanggung jawab pemprov dki, stafsus setneg terkait formula tanggung pemprov dki,stafsus setneg kait formula tanggung pemprov dki,false
55,2021-11-25 10:20:42+00:00,voidotid,menteri ketenagakerjaan menaker ida fauziyah memastikan adanya percepatan penyaluran bantuan subsidi upah bsu ,menteri ketenagakerjaan menaker ida fauziyah percepatan penyaluran bantuan subsidi upah bsu,menteri ketenagakerjaan menaker ida fauziyah cepat salur bantu subsidi upah bsu,true
56,2021-11-25 10:20:42+00:00,huntergamers6, hari ini banyak berita mengenai putusan mahkamah konstitusi tentang cipta kerja dengan judul yang cukup berag, berita putusan mahkamah konstitusi cipta kerja judul berag,berita putus mahkamah konstitusi cipta kerja judul berag,false
57,2021-11-25 10:20:41+00:00,501awani,bilik gerakan ibu pejabat polis kontinjen ipk kelantan akan beroperasi jam bagi memantau keadaan,bilik gerakan pejabat polis kontinjen ipk kelantan beroperasi jam memantau,bilik gera jabat polis kontinjen ipk lantan operasi jam pantau,true
58,2021-11-25 10:20:39+00:00,moonpardi, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,roti gardenia harga sember awaninews awani745,true
59,2021-11-25 10:20:36+00:00,pandawa5321,iki kasus opo ketunggalan berita,iki opo ketunggalan berita,iki opo tunggal berita,false
60,2021-11-25 10:20:32+00:00,vivacoid,bandung raya terdampak siklon tropis paddy,bandung raya terdampak siklon tropis paddy,bandung raya dampak siklon tropis paddy,true
61,2021-11-25 10:20:29+00:00,tuaji_lingsir, wah kabar baik ini dpr menjadi tuan rumah inter parliamentary union ipu general assembly pada 2022 dpruntuknegeri teru, kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,kabar dpr tuan rumah inter parliamentary union ipu general assembly 2022 dpruntuknegeri teru,true
62,2021-11-25 10:20:26+00:00,abdi_nagari, minta pemda percepat realisasi apbd 2021 amp ini arahan bapak presiden lho gaes percepatrealisasiapbd htt, pemda percepat realisasi apbd 2021 amp arahan presiden lho gaes percepatrealisasiapbd htt,pemda cepat realisasi apbd 2021 amp arah presiden lho gaes percepatrealisasiapbd htt,true
63,2021-11-25 10:20:24+00:00,exomalaysia_,gunung stong jalan gua musang lojing antara lokasi risiko kepala air tanah ,gunung stong jalan gua musang lojing lokasi risiko kepala air tanah,gunung stong jalan gua musang lojing lokasi risiko kepala air tanah,true
64,2021-11-25 10:20:23+00:00,hariadiagus2, baca komenan cebong kek orang mabok alias goblok pernah liat berita, baca komenan cebong kek orang mabok alias goblok liat berita,baca komenan cebong kek orang mabok alias goblok liat berita,false
65,2021-11-25 10:20:20+00:00,gurunpasir19,jika masyarakat karena suatu hal yang primer harus melakukan perjalanan keluar daerah maka,masyarakat primer perjalanan daerah,masyarakat primer jalan daerah,false
66,2021-11-25 10:20:18+00:00,_farisnajwan, edaran untuk warga twitter semua berhati hati membeli peranti yang tidak diperakui oleh suruhanjaya komunikasi dan multime, edaran warga twitter berhati hati membeli peranti diperakui suruhanjaya komunikasi multime,edar warga twitter hati hati beli peranti aku suruhanjaya komunikasi multime,true
67,2021-11-25 10:20:15+00:00,detikcom,pihak dprd belum mengetahui dengan pasti soal laporan kejaksaan tinggi kejati sulawesi selatan sulsel,dprd laporan kejaksaan kejati sulawesi selatan sulsel,dprd lapor jaksa kejat sulawesi selatan sulsel,true
68,2021-11-25 10:20:14+00:00,soekarnorahmat, bukan sekedar isapan jempol sistem smart kontrak nft dapat membuat orang kaya dalam waktu singkat, sekedar isapan jempol sistem smart kontrak nft orang kaya singkat,dar isap jempol sistem smart kontrak nft orang kaya singkat,false
69,2021-11-25 10:20:14+00:00,wurdianto, jamie carragher ikut jengkel melihat trio mnm tampil malas malasan punya banyak pemain berlabel bintang tidak menjamin kesuk, jamie carragher jengkel trio mnm tampil malas malasan pemain berlabel bintang menjamin kesuk,jamie carragher jengkel trio mnm tampil malas malas main label bintang jamin kesuk,true
70,2021-11-25 10:20:12+00:00,fasyam7, sejak awal fpks dpr menolak cipta kerja sudah ingatkan bahwa dalam penyusunan harus cermat melibatkan banyak stakehol, fpks dpr menolak cipta kerja ingatkan penyusunan cermat melibatkan stakehol,fpks dpr tolak cipta kerja ingat susun cermat libat stakehol,true
71,2021-11-25 10:20:09+00:00,bungfrankz, saatnya negara dapat mengevaluasi semua ormas dan lsm ada indonesia perwira polisi terluka, negara mengevaluasi ormas lsm indonesia perwira polisi terluka,negara evaluasi ormas lsm indonesia perwira polisi luka,false
72,2021-11-25 10:20:08+00:00,arcielomarcell,marcello bukan orang yang aktiv dalam bersosial media instagram pun baru saja membuatnya untuk kepentingan nant,marcello orang aktiv bersosial media instagram membuatnya kepentingan nant,marcello orang aktiv sosial media instagram buat penting nant,false
73,2021-11-25 10:20:06+00:00,zakatperak,berita dari manjung penerima bantuan mesin penguli doh encik ahmad ismail bin napiah terima kasih para muzakki ,berita manjung penerima bantuan mesin penguli doh encik ahmad ismail bin napiah terima kasih muzakki,berita manjung terima bantu mesin uli doh encik ahmad ismail bin napiah terima kasih muzakki,true
74,2021-11-25 10:20:05+00:00,maskusumo, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,kait isu pilih vanue formula tentu presiden tegas tanggung,true
75,2021-11-25 10:20:02+00:00,voidotid,inilah masterplan percepatan pembangunan pulau sumba ntt,masterplan percepatan pembangunan pulau sumba ntt,masterplan cepat bangun pulau sumba ntt,true
76,2021-11-25 10:20:02+00:00,katadatacoid,menko perekonomian airlangga hartarto memastikan pemerintah akan mematuhi putusan mahkamah konstitusi untuk ,menko perekonomian airlangga hartarto pemerintah mematuhi putusan mahkamah konstitusi,menko ekonomi airlangga hartarto perintah patuh putus mahkamah konstitusi,true
77,2021-11-25 10:20:01+00:00,b3y31, hadapi pemilu 2024 demokrat surabaya gelar sekolah politik demokratharapa, hadapi pemilu 2024 demokrat surabaya gelar sekolah politik demokratharapa,hadap milu 2024 demokrat surabaya gelar sekolah politik demokratharapa,true
78,2021-11-25 10:19:59+00:00,wpunchh, percepatrealisasiapbd terdapat daerah2 dgn capaian realisasi belanja tinggi rendah mendagri mengimbau daerah2 realis, percepatrealisasiapbd daerah2 dgn capaian realisasi belanja rendah mendagri mengimbau daerah2 realis,percepatrealisasiapbd daerah2 dgn capai realisasi belanja rendah mendagri imbau daerah2 realis,true
79,2021-11-25 10:19:56+00:00,redaksimetrokal,cegah stunting tanggung jawab bersama berita metro beritakalimantan beritaterkini,cegah stunting tanggung berita metro beritakalimantan beritaterkini,cegah stunting tanggung berita metro beritakalimantan beritaterkini,true
80,2021-11-25 10:19:54+00:00,thepinked1, edaran untuk warga twitter semua berhati hati membeli peranti yang tidak diperakui oleh suruhanjaya komunikasi dan multime, edaran warga twitter berhati hati membeli peranti diperakui suruhanjaya komunikasi multime,edar warga twitter hati hati beli peranti aku suruhanjaya komunikasi multime,true
81,2021-11-25 10:19:54+00:00,fawzans5,edge night falaq time all udah ngasih kisi kisi lewat qur surah falaq utk menghadapi era peralihan tsb,edge night falaq time all udah ngasih kisi kisi qur surah falaq utk menghadapi era peralihan tsb,edge night falaq time all udah ngasih kisi kisi qur surah falaq utk hadap era alih tsb,true
82,2021-11-25 10:19:53+00:00,redaksimetrokal,mensos kita harus siapkan lumbung sosial kalteng berita metro berita kalimantan,mensos siapkan lumbung sosial kalteng berita metro berita kalimantan,mensos siap lumbung sosial kalteng berita metro berita kalimantan,true
83,2021-11-25 10:19:46+00:00,cempluk1_erna,seperti kita ketahui bersama ajang formula itu panggung bagi bukan panggung bapak karena bapak,ketahui ajang formula panggung panggung,tahu ajang formula panggung panggung,false
84,2021-11-25 10:19:45+00:00,asyraffhaiqal, dyson tamatkan hubungan dengan pembekalnya malaysia atas dakwaan buruh paksa awaninews awani745, dyson tamatkan hubungan pembekalnya malaysia dakwaan buruh paksa awaninews awani745,dyson tamat hubung bekal malaysia dakwa buruh paksa awaninews awani745,true
85,2021-11-25 10:19:43+00:00,satriawaniwan20, pan pan dukung mui jakarta bentuk cyber army lawan hoax wakil ketua dprd dki jakarta zita anjani mendukung langkah mui mel, pan pan dukung mui jakarta bentuk cyber army lawan hoax wakil ketua dprd dki jakarta zita anjani mendukung langkah mui mel,pan pan dukung mui jakarta bentuk cyber army lawan hoax wakil ketua dprd dki jakarta zita anjani dukung langkah mui mel,true
86,2021-11-25 10:19:42+00:00,muhdizzat___, roti gardenia naik harga bermula disember awaninews awani745, roti gardenia harga disember awaninews awani745,roti gardenia harga sember awaninews awani745,true
87,2021-11-25 10:19:41+00:00,fauziahklate, beberapa ahli parlimen ingin tahu langkah kerajaan bagi mengatasi masalah itu, ahli parlimen langkah kerajaan mengatasi,ahli parlimen langkah raja atas,true
88,2021-11-25 10:19:35+00:00,senowerkudoro4, harusnya usah ber tele2 amp saling lempar tegas aja baik itu polda metro satgas covid maupun pemprov dki sepakat , ber tele2 amp lempar aja polda metro satgas covid pemprov dki sepakat,ber tele2 amp lempar aja polda metro satgas covid pemprov dki sepakat,false
89,2021-11-25 10:19:34+00:00,roestopo, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung,kait isu pilih vanue formula tentu presiden tegas tanggung,true
90,2021-11-25 10:19:33+00:00,arga_wisastra, menyatakan cipta kerja bertentangan dengan uud 1945, cipta kerja bertentangan uud 1945,cipta kerja tentang uud 1945,true
91,2021-11-25 10:19:33+00:00,najwa_sym, emil sudah maafkan ini untuk pelajaran kamu msh muda dan karir suamimu msh panjang kata wak menuturkan, emil maafkan pelajaran msh muda karir suamimu msh wak,emil maaf ajar msh muda karir suami msh wak,false
92,2021-11-25 10:19:26+00:00,kawuladusun, kalo berita ini bukan sandiwara harusnya presiden ngegas kasus kecurangan seleksi cpns tapi udah sebulan , kalo berita sandiwara presiden ngegas kecurangan seleksi cpns udah sebulan,kalo berita sandiwara presiden ngegas curang seleksi cpns udah bulan,false
93,2021-11-25 10:19:26+00:00,marizcimenda, willy ketua dprd dki jakarta prasetio edi marsudi meminta agar presiden joko widodo tak dilibatkan dlm penentuan sirkuit formu, willy ketua dprd dki jakarta prasetio edi marsudi presiden joko widodo dilibatkan dlm penentuan sirkuit formu,willy ketua dprd dki jakarta prasetio edi marsudi presiden joko widodo libat dlm tentu sirkuit formu,false
94,2021-11-25 10:19:23+00:00,dewirahmis, menyatakan cipta kerja bertentangan dengan uud 1945, cipta kerja bertentangan uud 1945,cipta kerja tentang uud 1945,true
95,2021-11-25 10:19:21+00:00,k0d0ks3k0l4m, sajak one got sudah cium bau2 penjara one got mau coba lempar tai nya pak jokowi setelah kpk bersuara dan sepupunya , sajak one got cium bau2 penjara one got coba lempar tai nya jokowi kpk bersuara sepupunya,sajak one got cium bau2 penjara one got coba lempar tai nya jokowi kpk suara sepupu,false
96,2021-11-25 10:19:20+00:00,aliefmaulana_, hari ini banyak berita mengenai putusan mahkamah konstitusi tentang cipta kerja dengan judul yang cukup berag, berita putusan mahkamah konstitusi cipta kerja judul berag,berita putus mahkamah konstitusi cipta kerja judul berag,false
97,2021-11-25 10:19:16+00:00,terbucinz, strategi erick thohir bantu pengusaha kecil naik kelas dengan hadirnya sebagai menteri bumn ini telah membawa, strategi erick thohir bantu pengusaha kelas hadirnya menteri bumn membawa,strategi erick thohir bantu usaha kelas hadir menteri bumn bawa,true
98,2021-11-25 10:19:14+00:00,antaralampung,anies sebut lokasi formula bukan ditentukan oleh presiden jokowi,anies lokasi formula ditentukan presiden jokowi,anies lokasi formula tentu presiden jokowi,true
99,2021-11-25 10:19:10+00:00,yoonserie, menfess kdm kalian bayangin anak mereka bentuknya kyk gimana klo orangtua nya blasteran korea surga gini semoga maki, menfess kdm bayangin anak bentuknya kyk gimana klo orangtua nya blasteran korea surga gini semoga maki,menfess kdm bayangin anak bentuk kyk gimana klo orangtua nya blaster korea surga gin moga maki,false
100,2021-11-25 10:19:08+00:00,marizcimenda, giliran sudah terjepit pakai tameng presiden jokowi camkan ini semua yang terkait formula sepenuhnya kewenangan amp , giliran terjepit pakai tameng presiden jokowi camkan terkait formula sepenuhnya kewenangan amp,gilir jepit pakai tameng presiden jokowi cam kait formula sepenuh wenang amp,false
101,2021-11-25 10:19:07+00:00,mayafasqual, agan1 mendagri tito karnavian meminta seluruh kepala daerah untuk mempercepat realisasi apbd, agan1 mendagri tito karnavian kepala daerah mempercepat realisasi apbd,agan1 mendagri tito karnavian kepala daerah cepat realisasi apbd,true
102,2021-11-25 10:19:06+00:00,marizcimenda, jelas logis bisa dipakai sebagai dasar kepentingan masyarakat umum harus diutamakan tolakreunikadrun212, logis dipakai dasar kepentingan masyarakat diutamakan tolakreunikadrun212,logis pakai dasar penting masyarakat utama tolakreunikadrun212,false
103,2021-11-25 10:19:00+00:00,yayasanepistema,kaltim usulkan 491 000 wehea kelay jadi kawasan strategis provinsi,kaltim usulkan 491 000 wehea kelay kawasan strategis provinsi,kaltim usul 491 000 wehea kelay kawasan strategis provinsi,true
104,2021-11-25 10:18:59+00:00,putragaruda27, dua tahun untuk perbaiki cipta kerja jika tidak tuntas ini resikonya, perbaiki cipta kerja tuntas resikonya,baik cipta kerja tuntas resiko,true
105,2021-11-25 10:18:59+00:00,sugali_bob,kelakuannya gitu emang pantes bubarin,kelakuannya gitu emang pantes bubarin,laku gitu emang pantes bubarin,false
